category	text
Positive	Sir nanu thumba chikkavanu adru harsthini sir naa bhagavantha nimna haraisali
Mixed feelings	1st Telegram App close madsi amele ella bartare
Negative	ಬಹುಷಃ ಬಿಡುಗಡೆ ಸಮಯದಲ್ಲಿ ಸಿನಿಮಾ ಜಾಹೀರಾತುಗಳು ಒಂದು ಜನರಿಗೆ ಮುಟ್ಟಿಲ್ಲ ಅನ್ಸುತ್ತೆ....
Positive	ಕನ್ನಡ ಸಿನಿಮಾ ರಂಗದ ಸುವರ್ಣಯುಗ ಈ ಕಾಲ ಎಂದರೆ ತಪ್ಪಾಗಲಾರದು.nಅದ್ಬುತ ದುಷ್ಯಕವ್ಯ ಈ ಸಿನಿಮಾಗಳು.nGolden time for Kannada film industrynMungaru Male
Positive	God bless you Sir..nNimage olleyadagali ........
Positive	ಟಿಕ್ ಟಾಕ್ #ಕ್ರಿಯೇಟಿವ್ ಕನ್ನಡಿಗ ನಿಮಗೆ ನಮ್ಮ #ಕನ್ನಡ ಜನತೆಯಿಂದ ತುಂಬು ಹೃದಯದ #ಧನ್ಯವಾದಗಳು ನೀವು ಇದೇ ರೀತಿಯಿಂದ ಮುಂದೆ ಇನ್ನೂ ಹೆಚ್ಚಿನ ವಿಡಿಯೋ ಗಳನ್ನು ಮಾಡಬೇಕೆಂದು ತಮ್ಮಲ್ಲಿ ವಿನಂತಿ ಜೈ ಹಿಂದ್ ಜೈ #ಕರ್ನಾಟಕ ಮಾತೆ
Mixed feelings	Ok about rashmika but not Vijay devarakonda
unknown state	Superb  Bro..
not-Kannada	Supr song
Negative	En kathe kattutiya guru🤣🤣🤣🤣..... . Proof kodu sullu kathe katbeda
unknown state	Epic comment....
Positive	Idu idu andre
not-Kannada	God bless you sir
Positive	ಇಡೀ ಚಿತ್ರ ತಂಡಕ್ಕೆ ಶುಭ ವಾಗಲಿ
Positive	Sir nange ashwath sir andre praana..nan appana hage iddru.. avranna kalkonda dukka tumbaa ide nange..and I respect u tooo sir...god bless u sir..
Negative	@Rajesh Rao en maadodu asht bejaar aagide....ond olle cinema hesr maadlilvalla anta...bejar maadkobedi
unknown state	Well side bro
not-Kannada	100/ true sir
Negative	neen yak guru aaa dagar rashmika ge compare madthiya
not-Kannada	Sir u r attitude & dance killed performance
Mixed feelings	Charetra hustsodu avatara
unknown state	Wow wt I seen ?? Osmm
Positive	Guru nim voice nim creativity dailogs galu suuuuuuuuuuuuuuuuuuuuuuuuuper
unknown state	Srinidhi ಶ್ರೀ w
Negative	Please darshan fans dislike madbedi nim Hero ne great but please Ee movie ge dislike madbedi
Negative	Friends un like Madirooru mostly daggr fanz erbeku alaava
Positive	Nijavaglu belakaythu Shankar sir
Positive	ಅಪ್ಪಟ ಕನ್ನಡ ಹಾಡು
Negative	@VARAPRASAD K K haa nin Amman tulldeepanna
not-Kannada	@ALPHA AB we need more people like u
Positive	Don't worry Sir kayakave kailasa
unknown state	Friend's Block tickets kuda sigalla
Positive	ಸೂಪರ್ ಅಣ್ಣ
Positive	Full fidaaaaaaaa.....!!!
not-Kannada	ఉత్తర్ ప్రదేశ్ నుంచి అం
Mixed feelings	Reamke king  d boss
Positive	Miss India Dia
Positive	ನನಗೆ ಹಾಲು ಕುಡಿದಷ್ಟು ಸಂತೋಷವಾಯಿತು ಜೈ ಮೋದಿಜಿ🤣🤣🤣
unknown state	Naanu kooda join aagthini
Positive	Edu charitre srustisuva avatraaa
Positive	ಎಲ್ಲರೂ ನಾಳೆ ಅವನ ದರ್ಶನಕ್ಕೆ ಕಾಯುತಿದ್ದಾರೆ ಯಾರವನು???nಅವನೇ ಶ್ರಿಮನ್ನಾರಾಯಣnನಾಳೇನೇ ಅವನ ದರ್ಶನ ಯಾರ್ಯಾರು ಪಡೆಯುವಿರಿ
Negative	@prithvi nayak ಪೈಲ್ವಾನ್ ರನ್ನಿಂಗ್ ಸಕ್ಸಸ್ ಫುಲ್ ಇನ್ mars
Positive	ತುಂಬಾ ಒಳ್ಳೆ ಸಿನೆಮಾ.. Best movie of 2020 in kannada
Positive	ಇದು ಚರಿತ್ರೆಯನ್ನು ಸೃಷ್ಟಿಸೋ ಅವತಾರ.
not-Kannada	അടിപൊളി പടം..  നായിക കുട്ടൂസ് പൊളി
Negative	Ha mundalochane matte dooradrusti .....avarahage ide ....
Mixed feelings	@Troll Stupid Fans avre enu heltilla
Positive	Idu charitre srustisuva avataranME
Positive	Jai Kiccha
not-Kannada	Good  job
Mixed feelings	ಗುರು ನಿಮ್ಗೆ ಡೌಟ
Negative	Matte comment yaru kettadagi maadbardantha commenters gu warning kottri idella thappe.public comment antha irodu adu public opinion nivu yaru nam bagge maathadodakke.
Mixed feelings	Ee video dalli adtiro game yavdu
Positive	supper  guru
Positive	Yenandru chamayya mestra magaa
Negative	Kannada industry dhool....
Negative	ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಇರುವಷ್ಟು ಹೊಟ್ಟೆಕಿಚ್ಚು ಜನಗಳು ಬೇರೆ ಯಾವ ಭಾಷೆಯಲ್ಲೂ ಸಿಗುವುದಿಲ್ಲ ಎಂಥ ದೊಡ್ಡ ವ್ಯಕ್ತಿ ಮಗ ಇವರು ಅಶ್ವಥ್ ಸಾರ್ ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಮೇರು ನಟರು ಅವರ ಮಗನಿಗೆ ಇದೆಂಥಾ  ಪಜಿತಿ...ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಯಾರಿಗೆ ಯಾರೂ ಸಹಾಯ ಮಾಡುವುದಿಲ್ಲ ನೂರಾರು ಕೋಟಿ ಹಣವಿದ್ದರೂ ಅವರು ಸ್ವಾರ್ಥಿ ಗಳಾಗಿರುತ್ತಾರೆ ಇದೇ ಕಾರಣಕ್ಕೆ ರಜನಿಕಾಂತ್ ಅರ್ಜುನ್ ಸರ್ಜಾ ರಂತಹ ಮೇರು ನಟರು ನಮ್ಮ ಭಾಷೆ ಬಿಟ್ಟು  ಪರ ಬಾಷೆಗೆ ಹೋಗಿರುವುದು...
Positive	ತುಂಬಾ ಹಾಸ್ಯಮಯವಾಗಿದೆ. ಅತ್ತೆ ಮನೆಯಲ್ಲಿನ ಹುಗ್ಗಿ ಉಣ್ಣುವ ಪ್ರಸಂಗ ತುಂಬಾ ನಗು ತರಿಸಿತು.
Mixed feelings	@TROLL MONSTER_KANNADA ಯಾವ್ದೋ ಲೋಕಲ್ ಎಣ್ಣೆ ಕುಡಿದು
Positive	Sir mate Tik tok bandideee stop madsi http
Negative	China avru nan shata
Negative	So sad. Sir....
not-Kannada	Hands up super song
Mixed feelings	Yava game bro edu
unknown state	In udupi sir
Negative	Hee sulli makalla videos beda. Tiktok ban agidhe holli kelsa
Positive	ಅನ್ನ. ನೀಡುವ ಯಾವ ಕೆಲಸವೂ ಕಡಿಮೆಯಲ್ಲ . ಶಂಕರರವರೆ ನಿಮ್ಮn ಸ್ವಾ ಭಿಮಾನಿ ಜೀವನಕ್ಕೆ  nನನ್ನ ದೊಂದು ಸಲಾಂ.
Positive	Nimage holleyadaagali sir
Positive	tq super sir
not-Kannada	Rakshith shetti luck like shankarnag
Negative	Sir intha cinema madida mele dodda mattadalli prachara madbekittu. nNodi prem avru dabba film madudru hype build-up create madodralli etthida kai.
Negative	Kolath hogiro kobhari mukadhavale🤣🤣🤣
Positive	Super bro Sakkathagide bro
Positive	ಕನ್ನಡ ಸಿನಿಮಾವನ್ನು ಎತ್ತು ಕೊಂಡಾಡುವಂತೆ ಮಾಡಲು ಬರುತ್ತಿದೆ..nಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣnnಜೈ ರಕ್ಷಿತ್ ಭಾಸ್....nನಮ್ಮ ಕನ್ನಡದ ಹೆಮ್ಮೆ
Positive	Raxit shetty uvarige ondu namaskar ide tara uvaru kannad film madali uvar comedy tumba chennagide.
Negative	6-5=2 nalli nijvadh video antha posteralli nodide but movie nodida mele gotthaythu adu sulu antha
Negative	Namma deshadalli Somberigalu jaasthi..
Negative	indian Tiktok ನಿನಾದರು ಕಂಡುಯಿಡಿ ಮಾರಯಾ ಜಾಸ್ತಿ ವದರಬೇಡ
Positive	Wow nice movie
Positive	Jai D Boss
Negative	ಪಾಪ ಜಾಸ್ತಿ followers ಇರೋರ್ ತುಂಬಾ ಬೇಜಾರ್ ಮಾಡ್ಕೊಂಡಿದಾರೆ
Positive	Boss nivu Rashmi kinta jasthi belibeku
Mixed feelings	@Kiccha Vitthal ಕಚ್ಚಾ ಸುದೆಪಿ
Positive	ಮ್ಯೂಸಿಕ್ ಗೆ ಮತ್ತು ಹಿರೋ ಸ್ಟೆಪ್ಸ್ ಗೆ ಫಿದಾ ಆದವರು ಲೈಕ್ ಮಾಡ್ರೋ
Positive	Bro nan kade enda nimg gondhu salam.
Positive	ಸುಪರ್ ಇಟ್ ಸಾಂಗ್ ಡಿ ಬಾಸ್ ಆಗಲೇ ಬೇಕಿತ್ತು ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ
Mixed feelings	24 M view
Mixed feelings	ODEYA movie ginta ee movie super annoru like madi...
Positive	ಹಾಡು ಚೆನಗಿ ಹೇಳುತೀರಾ
not-Kannada	Yayayayayayay hitt songgg
Positive	Nan yavathu youtube video na like kuda madila but comment madidini so.....
Positive	ಇದರಲ್ಲಿ ಎನ್ ಚನ್ನಗಿದಿಯೊ ಗೊತ್ತಿಲ್ಲ ಆದರೇ ಮ್ಯೂಸಿಕ್ ಡ್ಯಾನ್ಸ್  ಚಿಂದಿ ಆಗಿದೆ.
not-Kannada	My favorite  song
Positive	@Manoj Gowda ಮಲಯಾಳಿಗರ ಸಿನಿಮಾ ಅಭಿರುಚಿ ತುಂಬಾ ವಿಚಿತ್ರ (in a positive way) ವಾದದ್ದು
unknown state	@Kiran R  ಸಿನಿಮಾ  ನೋಡಿ promotion ಮಾಡಿ
Mixed feelings	Ur super sir..but ಒಂದ hit movi kodi sir navu adakoskara kaetidivi....
Positive	super song sir
Positive	ಸುಪರ ತೊಗರಿ ತಿಪ್
Positive	All the best from ಸ್ವಾಭಿಮಾನಿ ಕನ್ನಡಿಗರ ವೇದಿಕೆ
not-Kannada	Upendra has done
Negative	@Rajesh Rao bari inta comments maadkond koothkoli....thuu inta cinema na kannadadalli prothsaha maadilla anta naachike aagbeku
Positive	ತೊಗರಿ ತಿಪ್ಪ  ಕಥೆ ತುಂಬಾ ಚನ್ನಾಗಿದೆ ಮತ್ತು ತುಂಬಾ ಹಾಸ್ಯಾಸ್ಪದವಾಗಿದೆ.
Mixed feelings	Gentleman nodi bro
Mixed feelings	Balasiddare Sir hands up anta
unknown state	Indian filmsnBefore ASNnafter ASN
Mixed feelings	Odeya film yeng edhe nodudra
Positive	ನಾಲ್ಕು ದಿಕ್ಕುಗಳಿಗೆ ಬೇಕು ಇವನು ಬಂದೂಕು ಹಿಡಿದ ಮಾನವನು ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ
Positive	ಗೆಲ್ಲುತ್ತೆ ಡೋಂಟ್ ವೆರಿ
Negative	@Kiccha Vitthal ನಿಮ್ಮ ಹೈವಾನ್ ಫ್ಲಾಪ್
Positive	I like it kanta nI like it
Mixed feelings	A Anna car gema yavadu
Mixed feelings	Rakshit anna niii
Positive	Salute for music
Positive	Hela Kannada people please go and watch the movieee avana Sri man Narayana Kannada cinema nodi 🤗Kannada jai Karnataka mathee
Positive	ಜೈ ಡಿ ಬಾಸ್ ರಾಯಚೂರಿನ ಅಭಿಮಾನಿಗಳ ವತಿಯಿಂದ All the best
Positive	E film nodi yaraige Shankaranag Avaru Nenapu Agidre Like madi....... nNanganthu Rakshith Ne Namma Next Shakarnag Ansittu
not-Kannada	I am not understanding
Negative	ಭಾರತದಲ್ಲಿ  ಕಂಪನಿ  ಸುರು ಮಾಡಲು ಬಂದ್ರೆ  ಸಿಟಿ ಬಿಟ್ಟು ಹಳ್ಳಿಯ ಕಡೆಗೆ ಬರೊದೆ ಇಲ್ಲ.nಉತ್ತಮ ಮತ್ತು ವಿಶಾಲ  ಪ್ರದೇಶ ಇರೊದು ಹಳ್ಳಿಯಲ್ಲಿ .ಮೊದಲು ಅದನ್ನ ಸರ್ಕಾರ ಮಾಡಬೇಕು.
Positive	Instagram bya agithi ana
not-Kannada	super song
not-Kannada	Its a swamake movie.. not remake
Positive	ಹಂಗೆ ಇದನ್ನ part 2 ಮಾಡಿ ಸ್ವಾಮಿ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ..
Mixed feelings	Mr naveen raj Yenu nim Uddesha??n Nanu D BOSS Fan
Positive	ಅತಿ ಸುಂದರ ಹಾಸ್ಯ ಕಲ್ಪನೆ.
Negative	ಸ್ವಾಭಿಮಾನ ಇಲ್ಲಾದವರು
Negative	Bro e tiktok madovrna modlu thuldu sayisbeku ...nBari bildup kodo sedegale erodu bvrc galu
Positive	Well done
not-Kannada	Just say WOW
not-Kannada	Hands up super song
Positive	Super agi helidi anna
Positive	All the BEST SANDALWOODಒಡೆಯಾ ಡೀ ಬಾಸ್ ಫ್ಯಾನ್ಸ್
Negative	@Troll Stupid Fanslo gaandu thulle school ge henu raja kottavra child nan magane balegara fanu hogu school ge hogi hodkondiru sumne yake baiskothiya
Positive	ಮೊವಿ ಸೂಪರ್ ಇಂತ ಒಳ್ಳೆ ಡೈರೆಕ್ಟರ್
Negative	ಕೆಲವರು ಡಿಬಾಸ್ ಬಾಸ್ ಅಂತಾರೆnಕೆಲವರು ಯಶ್ ಬಾಸ್ ಅಂತಾರೆnಕೆಲವರು ಕಿಚ್ಚ ಬಾಸ್ ಅಂತಾರೆnಕೆಲವರು ಪುನೀತ್ ಬಾಸ್ ಅಂತಾರೆnಇನ್ನೂ ಕೆಲವರು ಶಿವಣ್ಣ ಬಾಸ್ ಅಂತಾರೆnಆದರೆ ಅವರೆಲ್ಲರೂ ಅವನಿಗಾಗಿ ಕಾಯ್ತಾಇದಾರೆnಯಾರ್ ಅವನು  nಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ
not-Kannada	Love you my Boss rakshi setty
not-Kannada	god bless u sir
Positive	Super bro yanke uninstall madbeku anno gandugale saryag helidira
unknown state	@Rajath Kunte okay.
not-Kannada	@Syed Akbar even KGF had songs
Mixed feelings	Super Anna ಆದ್ರೆ ನಮ್ ಹತ್ರ ಏನ್ ಇದ್ದೆ yala ದೊಡ್ಡ ದೊಡ್ಡ ಹಣ್ಣ ಇದ್ದವರು ಕೈ ನಲಿ  ಇದೆ ಏನ್ ಮಾಡೋದು
Negative	@Nandi Parthasarathi ನಂದಿನಿ ನಂದಿನಿ ನಿನ್ ತುಲ್ಲ್ ಗಲೀಜು
Positive	bal Chand aytri... Estu sala kelidru mat mat kelbeku..
Positive	Sang supar Chinu love you too...uppi.
Positive	@Megharaj 1 bro avru all best ellidu d fans ge ne nOdeya
Positive	ಧನ್ಯವಾದಗಳು ಸರ್ ಇಂತವರಿಗೆ ತುಂಬಾ ಚನ್ನಾಗಿ ಭುದ್ಧಿ ಮಾತು ಹೇಳಿದೀರಾ ಮತ್ತೆ ಹಿಂಥವರು ಇದ್ರೆ  ಇನ್ನು ಸ್ವಲ್ಪ ಮರ್ಯಾದೆ ಕೊಟ್ಟು ಹೇಳಿ
Negative	Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake
not-Kannada	Wow Super sang
not-Kannada	D boss fans like here
Positive	Movie was amazing!!🤩🤩
Negative	Song is super.. But innu swalp fast madiddare sakattagirodu
Negative	Bro navu arvinda tilkotidivi andre navu avrige yenadru kodbeku dodd dodd channel galige hinde dodd vyakti irtare so skip madade nodi avrigu duddu barli  .
Positive	Ee song nodidmel kado kattakade preshne......Next song yavaga???!
Negative	@Dhananjay Kinyaje yen promotion madtare ivaru. Bengaluru bittu yelladru hogtara promotion madakke?nTamil
Positive	ಒಳ್ಳೆ ಕನ್ನಡ ಸಿನಿಮಾಗಳಿಗೆ ಯಾವಾಗ್ಲೂ ಸಪೋರ್ಟ್ ಮಾಡೋ fans ಕಡೆಯಿಂದ
Negative	@TROLL MONSTER_KANNADA ಲೋ ಬೋಳಿಕೆ
Negative	@Yash cult Guru ellaa heroes andru yash na yaakappa bidtiyaa!? Example Santu straight forward
not-Kannada	Super sir
not-Kannada	Very nice story
Positive	Super dance
Mixed feelings	Alla Darshan fans
Negative	@Darshan Jain 🤣🤣🤣🤣🤣🤣🤣🤟🤟🤘🤘gottu bidu maga ningu avna bagge sumne yake bildup
Positive	Kelsa yavdadrenu maadu guru
Positive	super sr togari tippa
Mixed feelings	ನನಗು ಕನ್ನಡ ಸಾಕು
Mixed feelings	ದಯವಿಟ್ಟು ನನ್ನ ಎಲ್ಲಾ ಕನ್ನಡಿಗರಲ್ಲಿ ಒಂದು ವಿನಂತಿ
Negative	@Kalki Kali yuga yavag naasha maadtiyo kalki🤣🤣
not-Kannada	Superb song ... Liked it
Mixed feelings	Game name pls bro
Negative	ಕೆಲವು ಜನರಿಗೆ ಹೇಳಿದ್ರೆ ಅರ್ಥ ಆಗಲ್ಲ
Positive	Sir navu kannadadavru #asn moviena nale release madidru nodthivi.... #Kgf rangeGe bere bhashelu promote madi modlu...Kannadadallanthu % hit
Negative	Kabja kannada samrajya nucchu noor madtade
Mixed feelings	ಈಗ ಮಾತನಾಡಿ ಬೇರೆ ಭಾಷೆ ಅವರು
Positive	Super Kannada Karnataka and kanadiga
Mixed feelings	@prithvi nayak nindu ade sudeep sir da caste alva
Mixed feelings	Super Anna enu ugiri chanagi
Positive	Best song super nam boss movie e sala havli namde
unknown state	Nija na 🤔🤔🤔
Positive	ಜೈ ಭುವನೇಶ್ವರಿ 🤗
Positive	ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವಾತರ ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ
Mixed feelings	Creatagi ethu bro
Negative	Making ತುಂಬಾ ಚನ್ನಾಗಿದೆ  Lyrics Not good
Positive	Super guru
Positive	Sir Nimage devru nimjote erta
Negative	Chinndi guru ennu roast madu
Positive	Yan helidiya guru
Positive	ಅಪ್ಪಟ ಕನ್ನಡ ಚಿತ್ರ ಸೂಪರ್
Positive	ಇದು ಚರಿತ್ರೆ ಸೃಸ್ಟಿಸೋ ಅವತಾರ
unknown state	Super song and super dance
not-Kannada	Super dance stepppppp
Positive	ಈ ಚಿತ್ರದಲ್ಲಿ ಯಾವ್ ರೇಂಜ್ ಗೆ ಗ್ರಾಫಿಕ್ಸ್ ಮಾಡಿದ್ದಾರೆ ಅಂತ ಮತ್ತೊಬ್ಬ vfx ಆರ್ಟಿಸ್ಟ್ ಗೆ ಗೊತ್ತಾಗೋದು
Negative	Plz send account details
Negative	@sonali sona link a....theatre hogi nodi nim avrindha olle films ge value illa
Positive	Super video
Positive	Edakke politics bittu voggattagi kelsa madidrene munde barakke sadya.
Positive	Super guru 🤩🤩🤩🤩🤩
not-Kannada	I'm uttar Karnataka love janapda
Mixed feelings	ಯಾರು ದೊಡ್ಡ ಮಟ್ಟದಲ್ಲಿ ಬೆಳೆಯುತ್ತಾರೆ ಅವರನ್ನು ಪಕ್ಷಕ್ಕೆ ಸೇರುವಂತೆ ಒತ್ತಾಯ ಮಾಡುದು ಪಕ್ಷಕ್ಕೆ ಸೇರದಿದ್ದರೆ ಐಟಿ ಇಡೀ ರೈಡ್ ಮಾಡಿಸುದು ಅವರಿಗೆ ಬೇರೆ ದಾರಿ ತೋಚದೆ ಆತ್ಮಹತ್ಯೆ ಮಾಡುದು
Negative	@Vinay kumar banthu jaathi naayi savi savi nenapu soole sudeepu pans for a reason 🤣🤪
Positive	ತೊಗರಿ ತಿಪ್ಪ ಸ್ಟೋರಿ ಹಿಂದೆ ಟೇಪ್ ರೆಕಾರ್ಡನಲ್ಲಿ ಕ್ಯಾಸೆಟ್ ಹಾಕಿ ಕೇಳಿದ ನೆನಪನ್ನು ಮರುಕಳಿಸಿದ ಅಶ್ವೀನಿ ಆಡಿಯೋದವರಿಗೆ ಧನ್ಯವಾದಗಳು...
Negative	Firstu neen beldu
Negative	Bro valledu yarigu bega kaansodilla
Mixed feelings	ಗುರು ಮೂವಿ ನ re release madri.... Entha kannda film na support madlilla andre. Kannada ದಲ್ಲಿ ಮೀಡಿಯಾ Yak beku. Bhari avru trp koskara... Nam ಭಾಷೆ use madkondu ಬೇರೆ ಭಾಷೆ. ಫಿಲ್ಮ್ ಬಗ್ಗೆ. ತೋರಿಸುತ್ತಾರೆ.... Shame on kannda media..... But this film was. Heart touching
not-Kannada	Jai d boss
unknown state	ಎರಡೂ ಮಿಲಿಯನ್ ಆದಮೇಲೆ ಯಾರ್ಯಾರು ನೋಡ್ತಾ ಇದೀರ ಲೈಕ್ ಮಾಡಿ
Positive	ತುಂಬಾ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ....proud to be sandal wood
Positive	100 nija edu
Positive	ಅದ್ಭುತ ಸರ್ ಜೇವನದಲ್ಲಿ ಎಂದು ಸೋಲುಬಾರದು great ನಿಜವಾಗಿಯೂ
not-Kannada	Music  super
Positive	ಏನ್ ಸಾಂಗ್ ಗುರು ಮಸ್ತ್...
unknown state	@Abhigowda Abhigowda birthday song
unknown state	Prajwal devaraj
Negative	Edu  muda  nabike   nama Jana enu  betela
not-Kannada	Super....bGOOD d boss's .like hear
unknown state	@sᴀɴᴅᴀʟᴡᴏᴏᴅ sᴛᴜᴅɪᴏ ᴍᴏᴠɪᴇs munde gottagutte
Positive	ansodenu avrdu love merrid soo life ali obrigobru arta madkondu nambke na beliskondu prethina uliskondu... chanagiri
unknown state	Yudda maadabeku hogabaradu katukara(RASMIKA) nmunde BHAGAVTHGEETHE
Negative	Tiktak uninstal ಮಾಡಿದರೆ ಈ ತುಕಾಲಿ
Negative	ಕಥೆ ಅರ್ದ ಅಗಿದೆ.ಅಶ್ವತ್ತಾಮ ತನ್ಣಗಾಯಗೊಂಡ ದೇಹವನ್ನು ಗುಣಪಡಿಸಿದ್ದು ಕಲ್ಲಡ್ಕ ಪ್ರಭಾಕರ್ ಭಟ್.ನಂತರ ಅಶ್ವತ್ತಸಮ ತನ್ನ ಹೆಸರು ಬದಲಾಯಿಸಿ .ನರೇಂದ್ರ ದಾಮೋದರ ಮೊಲದಿ ಎಂಬ ಹೆಸರಿನಿಂದ ಬಾರತದ ಪ್ರದಾನಿಯಾಗಿ    ಅತನ ಅನುಯಾಯಿಗಳೇ ಮೋದಿ ಭಕ್ತರೆಂಬ ಕೌರವರು ಇವಾಗ ಮುಸ್ಲಿಂ ಎಂಬ ಪಾಂಡವರ ವಿರುದ್ದ ಕುತಂತ್ರ ಯುದ್ದ ಮಾಡುತ್ತದ್ದಾರೆ..
not-Kannada	Super movie super song
Positive	Jai appu sir
Positive	Uppi sir vicoe nali madirodu super bro
Mixed feelings	ಯುದ್ಧ ಮಾಡಬೇಕು...  ಓದಬಾರದು.. ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ
not-Kannada	Again and again
Positive	Superb bro...
Positive	ಅಭಿನಯ ಚಕ್ರವರ್ತಿ ಕಿಚ್ಚ ಸುದೀಪ್ ಅವರ ಕಡೆಯಿಂದ.. All tha best movi
Positive	Ur super guru
Negative	Swag karenge sabka swagath...ek tha tiger  song copied music?
Negative	@#win 12 yello yaavdo beedhi soolege huttironu neenu ansutthe....adakke nin hesru haakolde yavdo no. haakondidya.... leay child chapati nin no. ond kodu saaku nin dove na nin munde ne keaytini...... asht saaku nange....
Positive	Woww 300k + likes
not-Kannada	Yes it's true
Positive	Super super rakshit Shetty king.star
not-Kannada	മലയാളീസ് ആരും ഇല്ലേ . ഈ പടം ഇതുവരെ കാണാത്ത മലയാളികൾ ലൈക്
Positive	Rakshit shetty 🤗
Negative	One time kelidre average ansatte
unknown state	Ajaneesh loknath love u man
unknown state	ಕನ್ನಡಿಗ ಕಲಾರಸಿಕ nAvane Srimannarayana Trailer-BGM n          Re-Createdn
unknown state	Yes tats y salman Khan
Mixed feelings	ಈ ಹಾಡು ಒಂಥರಾslow poison ಇದ್ದ ಹಾಗೆ
Negative	ಶೆಟ್ಟಿಗಳು ಎಲ್ಲಾ ಈತರ ಕಥೆ ತೆಗಿಯೋದು ಮುಖ್ಯವಲ್ಲ ಕಮರ್ಷಿಯಲ್ ಸಿನಿಮಾ ಮಾಡಿ ತೋರಿಸಿ
Positive	Nkn yan trailer guru maiye jumm anthu wow amazing
not-Kannada	Must watch mother sentiment video..nதாயின் அருமை தெரிந்தவர்கள் இதை தவற விடாதீர்கள்.nn
Positive	ಹೌದು... ಸ್ಪೂರ್ತಿಯ ಮಾತುಗಳು..... ನಿಜವಾದ ಕಲಾವಿದನಿಗೆ ಬೆಲೆ ಇಲ್ಲ....ಶಂಕರ್ ಅಣ್ಣನಿಗೆ ಒಳ್ಳೆಯದಾಗಲಿ
Mixed feelings	Modi doing good job for new india
Negative	Guru nakn enu madbekitu guru ninu avr ajji nam dhesha dalli uti a china desha ke utiro hange Madtare tu evr janmake est benki haka
Positive	ದರ್ಶನ್  ಅವರ    ಜಾಮೀನು ಅರ್ಜಿಯನ್ನು ನ್ಯಾಯಾಲಯ ನಮಸ್ಕಾರ ನಮಸ್ಕಾರ
Negative	Hello dr. Vivek bindra video copy madidra? Never mind copy adru channagittu
Mixed feelings	Yappa bhaya agutte
Positive	@Vasantha Setty ಅಂಡರ್ಗ್ರೌಂಡ್ ಗೇ ಹೋಗು ಸಿಗ್ತಾರೆ ಮೆಜೆಸ್ಟಿಕ್ ಅಲ್ಲಿ ತುಲ್ಲೇ....
Positive	ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟ್ರಿಸಿದ ಅವತಾರ
Positive	Ameer Humza beldhaythu bro 🥰
not-Kannada	I am waiting
Positive	Avane Srimannarayana Trailer-BGM n          Re-Createdn
Positive	O. Trending #1
Negative	avru hege andre . neenu hene satya helu naavu deslike maadode . naavu erode adke avru huttutane . appa ammananne esta pattirlikkella
Negative	I like dis song i not like k .g .f
Negative	Ellanu KGF ge yaak compare maadtiyaa guru
Negative	Video 18 min innu video upload maadi 12 min agide complete video nodade dislike madthirallo
Positive	Gud pair Praju & Nishvika..
not-Kannada	Super nice bro
not-Kannada	@Sachin Y S 🤗
Mixed feelings	@Vasantha Setty illi gojjekesari Yash du nayinu musalla
Positive	Nim maathugalu thumba esta aaythu sir
Positive	ಇದು ಚರಿತ್ರೆ ಸ್ರುಷ್ಟಿಸೊ ಅವತಾರ
Positive	Arjun reddy kannadadalli remake aadre prajwal devraj suit aagthaare annoru like maadi
Positive	Chindhi udayisidhya guru..... So I am happy.....
Negative	@VARAPRASAD K K nin Amman thika nayi keyya dagaar darshan elladru neenu huttakintha munche nin appan munche koting kottidda ansutte soole magne nin amman dengaa
not-Kannada	Suprb acting yaar...
Positive	ಪದಗಳು ಸೋತಿದೆ....ಸಿನಿಮಾದnಅಂತರಾಳ ಅರಿಯಲು....nಹೃದಯದ ಕಿನ್ನರಿಯಲಿ ಹೊಸ ನಾದಲಯವ ಮೊಳಗಿಸಿದ...ಈ ಚಿತ್ರ ತಂಡಕ್ಕೆ ಸಾಸಿರ ನಮನ.....
Positive	300 plus ಕೋಟಿ ಪಕ್ಕಾ
Mixed feelings	Super d boss fan's like madi
not-Kannada	Love u junior D Boss
Negative	@vyv v hu kanappa gottu. Yash boss bitre yella avare copy paste gale remake stars
Positive	Bro nivu super
unknown state	ರಶ್ಮಿಕಾ ಮಂದಣ್ಣಳಿಗೆ ದೆಂ
Positive	ನಿಮಗೆ ಒಳ್ಳೆಯದು ಆಗಲಿ
